2611,응암,Eungam,06호선,610,0,0
2612,역촌,Yeokchon,06호선,611,2,0
2613,불광,Bulgwang,06호선,612,2,0
2614,독바위,Dokbawi,06호선,613,2,0
2615,연신내,Yeonsinnae,06호선,614,3,0
2616,구산,Gusan,06호선,615,1,0
2617,새절,Saejeol,06호선,616,2,0
2618,증산,Jeungsan,06호선,617,2,0
2619,디지털미디어시티,Digital Media City,06호선,618,2,0
2620,월드컵경기장,World Cup Stadium,06호선,619,1,0
2621,마포구청,Mapo-gu Office,06호선,620,2,0
2622,망원,Mangwon,06호선,621,2,0
2623,합정,Hapjeong,06호선,622,2,0
2624,상수,Sangsu,06호선,623,1,0
2625,광흥창,Gwangheungchang,06호선,624,2,0
2626,대흥,Daeheung,06호선,625,2,0
2627,공덕,Gongdeok,06호선,626,2,0
2628,효창공원앞,Hyochang park,06호선,627,2,0
2629,삼각지,Samgakji,06호선,628,2,0
2630,녹사평,Noksapyeong,06호선,629,2,0
2631,이태원,Itaewon,06호선,630,2,0
2632,한강진,Hangangjin,06호선,631,2,0
2633,버티고개,Beotigogae,06호선,632,1,0
2634,약수,Yaksu,06호선,633,2,0
2635,청구,Cheonggu,06호선,634,2,0
2636,신당,Sindang,06호선,635,2,0
2637,동묘앞,Dongmyo,06호선,636,1,0
2638,창신,Changsin,06호선,637,2,0
2639,보문,Bomun,06호선,638,2,0
2640,안암,Anam,06호선,639,1,0
2641,고려대,Korea Univ.,06호선,640,2,0
2642,월곡,Wolgok,06호선,641,2,0
2643,상월곡,Sangwolgok,06호선,642,2,0
2644,돌곶이,Dolgoji,06호선,643,1,0
2645,석계,Seokgye,06호선,644,2,0
2646,태릉입구,Taereung,06호선,645,2,0
2647,화랑대,Hwarangdae,06호선,646,2,0
2648,봉화산,Bonghwasan,06호선,647,2,0
2649,신내,Sinnae,06호선,648,4,0
