2511,방화,Banghwa,05호선,510,0,0
2512,개화산,Gaehwasan,05호선,511,2,0
2513,김포공항,Gimpo Intl. Airport,05호선,512,2,0
2514,송정,Songjeong,05호선,513,3,0
2515,마곡,Magok,05호선,514,2,0
2516,발산,Balsan,05호선,515,2,0
2517,우장산,Ujangsan,05호선,516,2,0
2518,화곡,Hwagok,05호선,517,2,0
2519,까치산,Kkachisan,05호선,518,2,0
2520,신정,Sinjeong,05호선,519,2,0
2521,목동,Mok-dong,05호선,520,2,0
2522,오목교,Omokgyo,05호선,521,2,0
2523,양평,Yangpyeong,05호선,522,1,0
2524,영등포구청,Yeongdeungpo-gu Office,05호선,523,2,0
2525,영등포시장,Yeongdeungpo Market,05호선,524,1,0
2526,신길,Singil,05호선,525,2,0
2527,여의도,Yeouido,05호선,526,2,0
2528,여의나루,Yeouinaru,05호선,527,2,0
2529,마포,Mapo,05호선,528,3,0
2530,공덕,Gongdeok,05호선,529,1,0
2531,애오개,Aeogae,05호선,530,2,0
2532,충정로,Chungjeongno,05호선,531,2,0
2533,서대문,Seodaemun,05호선,532,1,0
2534,광화문,Gwanghwamun,05호선,533,2,0
2535,종로3가,Jongno 3(sam)-ga,05호선,534,3,0
2536,을지로4가,Euljiro 4(sa)-ga,05호선,535,2,0
2537,동대문역사문화공원,Dongdaemun History  Culture Park,05호선,536,2,0
2538,청구,Cheonggu,05호선,537,2,0
2539,신금호,Singeumho,05호선,538,2,0
2540,행당,Haengdang,05호선,539,1,0
2541,왕십리,Wangsimni,05호선,540,2,0
2542,마장,Majang,05호선,541,1,0
2543,답십리,Dapsimni,05호선,542,2,0
2544,장한평,Janghanpyeong,05호선,543,3,0
2545,군자,Gunja,05호선,544,2,0
2546,아차산,Achasan,05호선,545,2,0
2547,광나루,Gwangnaru,05호선,546,2,0
2548,천호,Cheonho,05호선,547,3,0
2549,강동,Gangdong,05호선,548,1,0
2550,길동,Gil-dong,05호선,549,2,0
2551,굽은다리,Gubeundari,05호선,550,2,0
2552,명일,Myeongil,05호선,551,2,0
2553,고덕,Godeok,05호선,552,2,0
2554,상일동,Sangil-dong,05호선,553,2,0
2562,강일,Gangil,05호선,554,2,0
2563,미사,Misa,05호선,555,3,0
2564,하남풍산,Hanam Pungsan,05호선,556,3,0
2565,하남시청,Hanam City Hall,05호선,557,2,0
2566,하남검단산,Hanam Geomdansan,05호선,558,3,0
2555,둔촌동,Dunchon-dong,05호선,P549,2,0
2556,올림픽공원,Olympic Park,05호선,P550,2,0
2557,방이,Bangi,05호선,P551,2,0
2558,오금,Ogeum,05호선,P552,2,0
2559,개롱,Gaerong,05호선,P553,2,0
2560,거여,Geoyeo,05호선,P554,2,0
2561,마천,Macheon,05호선,P555,1,0
