1958,대화,Daehwa,03호선,309,0,0
1957,주엽,Juyeop,03호선,310,2,0
1956,정발산,Jeongbalsan,03호선,311,3,0
1955,마두,Madu,03호선,312,2,0
1954,백석,Baekseok,03호선,313,2,0
1953,대곡,Daegok,03호선,314,4,0
1952,화정,Hwajeong,03호선,315,3,0
1951,원당,Wondang,03호선,316,3,0
1948,원흥,Wonheung,03호선,317,3,0
1950,삼송,Samsong,03호선,318,3,0
309,지축,Jichuk,03호선,319,3,0
310,구파발,Gupabal,03호선,320,3,0
311,연신내,Yeonsinnae,03호선,321,3,0
312,불광,Bulgwang,03호선,322,2,0
313,녹번,Nokbeon,03호선,323,2,0
314,홍제,Hongje,03호선,324,2,0
315,무악재,Muakjae,03호선,325,2,0
316,독립문,Dongnimmun,03호선,326,2,0
317,경복궁,Gyeongbokgung,03호선,327,3,0
318,안국,Anguk,03호선,328,2,0
319,종로3가,Jongno 3(sam)-ga,03호선,329,2,0
320,을지로3가,Euljiro 3(sam)-ga,03호선,330,1,0
321,충무로,Chungmuro,03호선,331,2,0
322,동대입구,Dongguk Univ.,03호선,332,2,0
323,약수,Yaksu,03호선,333,1,0
324,금호,Geumho,03호선,334,2,0
325,옥수,Oksu,03호선,335,1,0
326,압구정,Apgujeong,03호선,336,3,0
327,신사,Sinsa,03호선,337,2,0
328,잠원,Jamwon,03호선,338,2,0
329,고속터미널,Express Bus Terminal,03호선,339,2,0
330,교대,Seoul Nat`l Univ. of Education,03호선,340,3,0
331,남부터미널,Nambu Bus Terminal,03호선,341,2,0
332,양재,Yangjae,03호선,342,2,0
333,매봉,Maebong,03호선,343,3,0
334,도곡,Dogok,03호선,344,2,0
335,대치,Daechi,03호선,345,1,0
336,학여울,Hangnyeoul,03호선,346,2,0
337,대청,Daecheong,03호선,347,2,0
338,일원,Irwon,03호선,348,2,0
339,수서,Suseo,03호선,349,2,0
340,가락시장,Garak Market,03호선,350,3,0
341,경찰병원,National Police Hospital,03호선,351,1,0
342,오금,Ogeum,03호선,352,1,0
